season,year,shocks,effective_use_rate,mean_wait_days,backlog_mu,mean_loss_fraction,avoided_loss_fraction,mitigation_rate,mean_income,income_p10,gini_income,exit_rate,fiscal_spend,fiscal_cumulative,equity_gap,mountain_gap,capacity_units,reliability,trust,capable_share,recovery_seasons_mean,adopt_T1,adopt_T2,adopt_T3,service_T1,service_T2,service_T3,effort_T1,effort_T2,effort_T3,contract_linear,contract_concave,contract_convex,contract_self,contract_infeasible,scenario,rep
3,1.5,,0.1728395061728395,14.229400860735009,108.21765246245386,0.0,0.0,0.0,13017.421214037233,3173.2337451459534,0.45919515972933717,0.0,2400.53967494233,5323.372753027459,0.0,0.0,0.18968377328978764,0.8787647999999999,0.5073872685185186,0.17097876543209878,1.4444444444444444,0.19753086419753085,0.04938271604938271,0.13580246913580246,0.19753086419753085,0.0,0.13580246913580246,0.8794579301729561,0.24500000000000002,0.6147252526061541,1,14,10,4,0,subsidy,0
4,2.0,D3,0.16049382716049382,19.827616085691552,180.27953670528348,0.2804222911551374,0.0007939475652727904,0.0028232635813828172,8599.375676790194,1158.2114368785235,0.5346949325894315,0.0,2482.4840330468437,7805.856786074302,0.0010847905226739182,0.0013731805661186972,0.18019958462529825,0.7193624268736712,0.4759067939814815,0.15789323456790125,1.4444444444444444,0.2345679012345679,0.037037037037037035,0.08641975308641975,0.2345679012345679,0.012345679012345678,0.08641975308641975,0.6858928509324338,0.275,0.7070732323247784,1,10,14,2,0,subsidy,0
1,0.5,D2,0.14814814814814814,2.8624719091001785,0.0,0.06508279857956176,0.002530887983933952,0.03743159281157087,9860.575408779036,2672.504289796235,0.44612605791487614,0.0,2293.733882831242,2293.733882831242,0.004351579838234277,0.004788342362406942,0.1714826551929818,0.892,0.553425925925926,0.20170370370370372,,0.18518518518518517,0.037037037037037035,0.1111111111111111,0.18518518518518517,0.0,0.1111111111111111,0.690577499181212,0.24583333333333335,0.6368593843149193,0,7,17,3,0,subsidy,1
2,1.0,,0.037037037037037035,2.8703951637058456,0.0,0.0,0.0,0.0,11038.382405804607,2793.4217281280635,0.44237138364923606,0.0,2590.994840973005,4884.728723804247,0.0,0.0,0.1629085224333327,0.88496,0.5507546296296297,0.18245925925925927,1.0,0.16049382716049382,0.04938271604938271,0.04938271604938271,0.16049382716049382,0.0,0.04938271604938271,0.49425427671943684,0.30000000000000004,0.6935811875199449,0,5,12,4,0,subsidy,1
3,1.5,,0.1111111111111111,2.7311224177133426,0.0,0.0,0.0,0.0,9891.913460604199,2959.216457573954,0.4025738194180704,0.0,3302.0889276203698,8186.817651424617,0.0,0.0,0.15476309631166607,0.8787647999999999,0.5482168981481482,0.16699111111111112,1.0,0.1728395061728395,0.06172839506172839,0.1111111111111111,0.1728395061728395,0.0,0.1111111111111111,0.6054083391212606,0.29000000000000004,0.6215409658242915,0,4,19,5,0,subsidy,1
4,2.0,D2,0.1111111111111111,11.469272603008948,63.301621127203084,0.030284085855075242,0.0008768009314836909,0.028137868395385138,10433.808380431332,2820.3006463183833,0.43632239759162966,0.0,6026.328739312366,14213.146390736983,0.0015226112717532862,0.0015788148473192757,0.14702494149608275,0.8733130239999999,0.5451887692901235,0.15306977777777778,1.0,0.20987654320987653,0.024691358024691357,0.1111111111111111,0.20987654320987653,0.0,0.09876543209876543,0.740320666584115,0.18,0.5795692952673636,3,6,15,3,0,subsidy,1
1,0.5,,0.2345679012345679,3.83004258164149,0.0,0.0,0.0,0.0,13150.790837358187,2986.805585542871,0.5037333828484047,0.0,1739.4228739804412,1739.4228739804412,0.0,0.0,0.2101759260828672,0.892,0.5475000000000001,0.2038641975308642,,0.30864197530864196,0.0,0.1728395061728395,0.30864197530864196,0.0,0.1728395061728395,0.6527485551959125,0.0,0.7178879345071885,0,10,29,0,0,voucher,0
2,1.0,D2,0.2222222222222222,15.52810454091963,150.43747894091283,0.29981668541802725,0.01484993696415534,0.04719260292602356,7462.10419453047,1430.0732486348188,0.45314383183542006,0.0,1590.1350384015734,3329.5579123820144,0.03592437885251843,0.02706679724309986,0.19966712977872383,0.88496,0.5184583333333335,0.18903333333333336,1.0,0.25925925925925924,0.0,0.1728395061728395,0.25925925925925924,0.0,0.1728395061728395,0.6504030623657114,0.0,0.7742580864973706,1,9,23,0,0,voucher,0
3,1.5,,0.1111111111111111,9.795195513006647,105.8357566690947,0.0,0.0,0.0,13073.76759064578,3173.2337451459534,0.460804729337929,0.0,1253.7845925860943,4583.342504968108,0.0,0.0,0.18968377328978764,0.8787647999999999,0.5163008487654323,0.1729077777777778,1.368421052631579,0.2716049382716049,0.024691358024691357,0.13580246913580246,0.2716049382716049,0.012345679012345678,0.13580246913580246,0.41339553577425564,0.65,0.7230489718861433,0,5,27,1,0,voucher,0
4,2.0,D3,0.18518518518518517,8.188034413394115,47.919941874182776,0.2797817480446471,0.001434490675763052,0.005101023619013858,8706.250639501957,1158.2114368785235,0.5374958690282741,0.0,1118.4484943981158,5701.790999366224,0.0010606348058383281,0.0006873145027041985,0.18019958462529825,0.7193624268736712,0.48622654706790136,0.16024662962962966,1.368421052631579,0.24691358024691357,0.0,0.14814814814814814,0.24691358024691357,0.0,0.14814814814814814,0.7829710895680422,0.0,0.67694743879769,1,14,16,0,0,voucher,0
