year,dry_spell_days,julaug_precip_mm,hot_days,rainstorm_days,heavy_rainstorm_days,max_1day_mm,max_3day_mm,county
2009,8,327.79999999999995,0,1,0,50.6,59.500000000000014,C6
2010,5,396.6,0,0,0,37.8,55.2,C6
2011,9,162.5,0,0,0,41.1,69.0,C6
2012,3,579.3,0,4,0,70.0,98.3,C6
2013,8,270.09999999999997,0,0,0,41.8,70.2,C6
2014,5,409.2999999999999,0,0,0,44.4,73.9,C6
2015,4,381.59999999999997,0,0,0,29.7,49.0,C6
2016,5,213.20000000000002,0,0,0,31.4,59.900000000000006,C6
2017,6,366.0999999999999,0,0,0,39.7,75.4,C6
2018,4,396.3000000000001,0,0,0,40.1,66.2,C6
2019,6,503.6,0,0,0,44.5,86.1,C6
2020,4,513.7,0,2,0,60.2,91.4,C6
2021,6,412.29999999999995,0,0,0,48.4,73.10000000000001,C6
2022,11,397.7000000000001,0,0,0,49.4,64.1,C6
2023,4,535.4999999999999,0,0,0,42.6,80.1,C6
2024,10,354.29999999999995,0,0,0,49.7,78.7,C6
