file,key,path,read_by_code,value
model_params.yaml,verifiability,contract.verifiability,True,
model_params.yaml,voucher_value_per_mu,scenarios.instruments.P2.voucher_value_per_mu,True,6.0
model_params.yaml,with_T1_remote_sensing,contract.verifiability.with_T1_remote_sensing,True,0.65
model_params.yaml,with_T2_sensors,contract.verifiability.with_T2_sensors,True,0.7
model_params.yaml,with_T3_telemetry,contract.verifiability.with_T3_telemetry,True,0.8
model_params.yaml,within_county_bias,behaviour.peer_network.within_county_bias,True,0.85
model_params.yaml,yield_cv,production.yield_cv,True,0.18
policies.yaml,baseline_2025,provincial.baseline_2025,True,
policies.yaml,basis_risk,instruments.decision_variables.basis_risk,True,
policies.yaml,cap_per_farm,instruments.decision_variables.cap_per_farm,True,
policies.yaml,coverage_ratio,instruments.decision_variables.coverage_ratio,True,
policies.yaml,decay_rate_annual,instruments.decision_variables.decay_rate_annual,True,
policies.yaml,default,instruments.decision_variables.subsidy_rate.default,True,0.3
policies.yaml,direction,objectives.direction,True,maximise
policies.yaml,disbursement_lag_days,instruments.decision_variables.disbursement_lag_days,True,
policies.yaml,eligibility_min_area_mu,instruments.decision_variables.eligibility_min_area_mu,True,
policies.yaml,followup_support,instruments.decision_variables.followup_support,True,
policies.yaml,id,instruments.id,True,P1
policies.yaml,instruments,instruments,True,
policies.yaml,key,national.key,True,NP1
policies.yaml,lead_time_gain_days,instruments.decision_variables.lead_time_gain_days,True,
policies.yaml,light_equipment_share,instruments.decision_variables.light_equipment_share,True,
policies.yaml,max_mu_per_farm,instruments.decision_variables.max_mu_per_farm,True,
policies.yaml,national,national,True,
policies.yaml,new_centres_per_year,instruments.decision_variables.new_centres_per_year,True,
policies.yaml,payout_lag_days,instruments.decision_variables.payout_lag_days,True,
policies.yaml,premium_subsidy_rate,instruments.decision_variables.premium_subsidy_rate,True,
policies.yaml,provincial,provincial,True,
policies.yaml,range,instruments.decision_variables.subsidy_rate.range,True,
policies.yaml,remote_service_points,instruments.decision_variables.remote_service_points,True,
policies.yaml,reserved_capacity_share,instruments.decision_variables.reserved_capacity_share,True,
policies.yaml,sd_stock,instruments.sd_stock,True,government_budget
policies.yaml,skill_gain,instruments.decision_variables.skill_gain,True,
policies.yaml,slots_per_year,instruments.decision_variables.slots_per_year,True,
policies.yaml,subsidy_rate,instruments.decision_variables.subsidy_rate,True,
policies.yaml,targeting,instruments.decision_variables.targeting,True,
policies.yaml,targets,instruments.targets,True,
policies.yaml,targets_by_2028,provincial.targets_by_2028,True,
policies.yaml,transport_support,instruments.decision_variables.transport_support,True,
policies.yaml,units_per_centre,instruments.decision_variables.units_per_centre,True,
policies.yaml,verify,provincial.verify,True,True
policies.yaml,voucher_value_per_mu,instruments.decision_variables.voucher_value_per_mu,True,
policies.yaml,year,national.year,True,2020
technologies.yaml,access_modes,meta.access_modes,True,
technologies.yaml,adoption_states,adoption_states,True,
technologies.yaml,availability_base,bundles.model.availability_base,True,0.92
technologies.yaml,bundles,bundles,True,
technologies.yaml,capacity_mu_per_unit_per_day,bundles.model.capacity_mu_per_unit_per_day,True,300.0
technologies.yaml,capex_own_per_unit,bundles.model.capex_own_per_unit,True,62000.0
technologies.yaml,capex_per_mu,bundles.model.capex_per_mu,True,420.0
technologies.yaml,digital_literacy_threshold,bundles.model.digital_literacy_threshold,True,0.25
technologies.yaml,eta_compound,bundles.model.eta_compound,True,0.15
technologies.yaml,eta_drought,bundles.model.eta_drought,True,0.12
technologies.yaml,eta_flood,bundles.model.eta_flood,True,0.28
technologies.yaml,false_alarm_rate,bundles.model.false_alarm_rate,True,0.2
technologies.yaml,hill,bundles.model.terrain_fit.hill,True,0.95
technologies.yaml,id,bundles.id,True,T1
technologies.yaml,key,adoption_states.key,True,not_accessible
