parameter,module,direction,param_base,param_value,output,base,value,pct_change_out,elasticity
max mitigation,loss,high,0.65,0.85,effective_use_rate,0.1691666666666667,0.1691666666666667,0.0,0.0
max mitigation,loss,high,0.65,0.85,mitigation_rate,0.019081530743363915,0.019081530743363915,0.0,0.0
max mitigation,loss,high,0.65,0.85,mean_wait_days,14.923042921534568,14.923042921534568,0.0,0.0
max mitigation,loss,high,0.65,0.85,mean_income,8061.483789570764,8061.483789570764,0.0,0.0
farmer risk mean,risk,low,0.6,0.45,adopt_any,0.14227777777777775,0.13883333333333334,-2.420929324482605,0.09683717297930422
farmer risk mean,risk,low,0.6,0.45,effort_T3,0.743096898378123,0.7478852458382507,0.6443772636622076,-0.02577509054648831
farmer risk mean,risk,low,0.6,0.45,effective_use_rate,0.1691666666666667,0.16949999999999998,0.1970443349753477,-0.00788177339901391
farmer risk mean,risk,low,0.6,0.45,mitigation_rate,0.019081530743363915,0.018693495032459023,-2.033566992731134,0.08134267970924537
farmer risk mean,risk,low,0.6,0.45,mean_wait_days,14.923042921534568,14.800456313820574,-0.8214585212852079,0.032858340851408326
farmer risk mean,risk,low,0.6,0.45,mean_income,8061.483789570764,8063.76312074529,0.02827433800058239,-0.0011309735200232959
farmer risk mean,risk,high,0.6,0.75,adopt_any,0.14227777777777775,0.14722222222222223,3.475204998047659,0.13900819992190633
farmer risk mean,risk,high,0.6,0.75,effort_T3,0.743096898378123,0.756286273190535,1.774919911682988,0.0709967964673195
farmer risk mean,risk,high,0.6,0.75,effective_use_rate,0.1691666666666667,0.17683333333333331,4.532019704433473,0.18128078817733892
farmer risk mean,risk,high,0.6,0.75,mitigation_rate,0.019081530743363915,0.020387682554974917,6.845110222958659,0.2738044089183463
farmer risk mean,risk,high,0.6,0.75,mean_wait_days,14.923042921534568,16.180334450145676,8.425168614886067,0.3370067445954426
farmer risk mean,risk,high,0.6,0.75,mean_income,8061.483789570764,8063.934314733761,0.0303979419541522,0.0012159176781660877
provider risk mean,risk,low,0.33,0.2,adopt_any,0.14227777777777775,0.1238888888888889,-12.924638812963666,0.3280869852521546
